date,temp,wind,rain
2013012608,-14.05,2.95,0
2013012609,-13.125,2.175,0
2013012700,-11.975,3.775,0
2013012701,-12.3,2.925,0
2013012710,-9.325,1.85,0
2013012711,-8.35,2.95,0
2013012712,-8.075,2.875,0
2013012713,-7.175,3.325,0
2013012714,-7.225,3.525,0
2013012715,-6.65,3.65,0
2013012716,-6.45,3.575,0
2013012717,-6.425,2.85,0
2013012718,-7.35,2.975,0
2013012719,-7.975,2.675,0
2013012702,-12.4,2.7,0
2013012720,-8.45,3.025,0
2013012721,-8.75,3.25,0
2013012722,-9,2.8,0
2013012723,-9.425,2.65,0
2013012703,-12.65,2.85,0
2013012704,-12.45,2.15,0
2013012705,-12.35,2.55,0
2013012706,-12.25,2.65,0
2013012707,-12.225,2.225,0
2013012708,-11.975,2.375,0
2013012709,-11,2.2,0
2013012800,-9.775,2.9,0
2013012801,-10.075,2.55,0
2013012810,-6.525,1.5,0
2013012811,-5.375,2.125,0
2013012812,-4.05,1.525,0
2013012813,-3.025,2.1,0
2013012814,-1.8,1.75,0
2013012815,-1.525,1.825,0
2013012816,-1.775,2.325,0
2013012817,-1.65,2.175,0
2013012818,-1.75,2.35,0
2013012819,-1.55,2.825,0
2013012802,-10.275,2.25,0
2013012820,-1.55,3.025,0
2013012821,-1.375,2.5,0
2013012822,-1,2.6,0
2013012823,-0.95,2.875,0
2013012803,-10.35,2.175,0
2013012804,-10.175,2.6,0
2013012805,-10.625,2.55,0
2013012806,-10.4,3.275,0
2013012807,-10.275,2.55,0
2013012808,-10.025,2.125,0
2013012809,-8.85,1.675,0
2013012900,-0.75,2.225,0
2013012901,-0.625,2.4,0
2013012910,1.075,2.3,0
2013012911,1.425,2.5,0
2013012912,2,2.525,0
2013012913,2.225,2.55,0
2013012914,2.1,2.425,0
2013012915,2.575,2.325,0
2013012916,2.675,2.125,0
2013012917,2.625,2.075,0
2013012918,2.575,2.3,0
2013012919,2.375,2.3,0
2013012902,-0.45,1.975,0
2013012920,2.3,2.25,0
2013012921,2.3,2.05,0
2013012922,2.25,1.875,0
2013012923,2.275,1.725,0
2013012903,-0.425,2.225,0
2013012904,-0.425,2.2,0
2013012905,-0.425,2.075,0
2013012906,-0.35,2.15,0
2013012907,-0.05,2.125,0
2013012908,0.875,1.85,0
2013012909,0.725,2.55,0
2013013000,2.275,1.625,0
2013013001,2.65,1.525,0
2013013010,3.35,1.9,0
2013013011,4.55,0.975,0
2013013012,4.975,1.225,0
2013013013,6.15,1.05,0
2013013014,6.45,1.075,0
2013013015,6.675,0.75,0
2013013016,7,0.875,0
2013013017,6.225,1.35,0
2013013018,5.25,1.05,0
2013013019,4.325,0.525,0
2013013002,2.4,1.625,0
2013013020,4,0.8,0
2013013021,3.65,1.625,0
2013013022,3.525,1.95,0
2013013023,3.05,1.7,0
2013013003,2.35,1.35,0
2013013004,2.45,1.325,0
2013013005,2.3,1.325,0
2013013006,2.35,1.075,0
2013013007,2.35,0.55,0
2013013008,2.425,0.35,0
2013013009,2.7,1.45,0
2013013100,2.825,1.825,0
2013013101,3.25,1.95,0
